ID	Changed	Total_AP	Changes	Original	Generated
BASIC5000_0001	4	4	平板→]@3(izu]o) | ]@3(are]esh)→]@7(shia]ka) | ]@5(ana]ku)→]@3(awa]na) | ]@3(ara]na)→]@5(ana]in)	^-m-i-[-z-u-o-#-m-a-[-r-e-]-e-sh-i-a-k-a-r-a-#-k-a-[-w-a-n-a-]-k-u-t-e-w-a-#-n-a-[-r-a-]-n-a-i-n-o-d-e-s-u-$	^-m-i-[-z-u-]-o-#-m-a-[-r-e-e-sh-i-a-]-k-a-r-a-#-k-a-[-w-a-]-n-a-k-u-t-e-w-a-#-n-a-[-r-a-n-a-]-i-n-o-d-e-s-u-$
BASIC5000_0002	5	6	]@5(uyo]ob)→]@3(oku]yo) | ]@7(Nka]id)→]@4(ese]Nk) | 平板=同じ | 平板→]@4(Nte]Nm) | ]@1(na]im)→]@2(nai]ma) | ]@9(ima]shi)→]@11(ashi]ta)	^-m-o-[-k-u-y-o-]-o-b-i-_-t-e-[-e-s-e-N-k-a-]-i-d-a-N-w-a-_-n-a-[-N-n-o-#-sh-i-[-N-t-e-N-m-o-#-n-a-]-i-m-a-m-a-#-sh-u-[-u-ry-o-o-sh-i-m-a-]-sh-i-t-a-$	^-m-o-[-k-u-]-y-o-o-b-i-_-t-e-[-e-s-e-]-N-k-a-i-d-a-N-w-a-_-n-a-[-N-n-o-#-sh-i-[-N-t-e-]-N-m-o-#-n-a-[-i-]-m-a-m-a-#-sh-u-[-u-ry-o-o-sh-i-m-a-sh-i-]-t-a-$
BASIC5000_0003	4	5	]@6(Ngi]iN)→]@3(ooi]Ng) | 平板→]@3(ata]shi) | ]@1(de]et)→]@4(eta]o) | ]@3(uga]me)=同じ | 平板→]@3(oku]ha)	^-j-o-[-o-i-N-g-i-]-i-N-w-a-_-w-a-[-t-a-sh-i-g-a-#-d-e-]-e-t-a-o-#-y-u-[-g-a-]-m-e-t-a-t-o-#-k-o-[-k-u-h-a-ts-u-sh-i-t-a-$	^-j-o-[-o-i-]-N-g-i-i-N-w-a-_-w-a-[-t-a-]-sh-i-g-a-#-d-e-[-e-t-a-]-o-#-y-u-[-g-a-]-m-e-t-a-t-o-#-k-o-[-k-u-]-h-a-ts-u-sh-i-t-a-$
BASIC5000_0004	3	5	]@3(clshu]uk)→]@6(uka]Nsh) | 平板=同じ | ]@1(nyu]us)→]@4(usu]wa) | 平板→]@4(Nto]on) | ]@1(na]clt)=同じ	^-i-[-cl-sh-u-]-u-k-a-N-sh-i-t-e-_-s-o-[-n-o-#-ny-u-]-u-s-u-w-a-#-h-o-[-N-t-o-o-n-i-#-n-a-]-cl-t-a-$	^-i-[-cl-sh-u-u-k-a-]-N-sh-i-t-e-_-s-o-[-n-o-#-ny-u-[-u-s-u-]-w-a-#-h-o-[-N-t-o-]-o-n-i-#-n-a-]-cl-t-a-$
BASIC5000_0005	4	4	平板→]@4(tsua]tsu) | 平板→]@4(Nko]on) | ]@5(ome]et)→]@3(aro]me) | ]@8(dea]ru)→]@7(ode]ar)	^-k-e-[-ts-u-a-ts-u-w-a-_-k-e-[-N-k-o-o-n-o-#-p-a-[-r-o-m-e-]-e-t-a-a-t-o-sh-i-t-e-#-j-u-[-u-y-o-o-d-e-a-]-r-u-$	^-k-e-[-ts-u-a-]-ts-u-w-a-_-k-e-[-N-k-o-]-o-n-o-#-p-a-[-r-o-]-m-e-e-t-a-a-t-o-sh-i-t-e-#-j-u-[-u-y-o-o-d-e-]-a-r-u-$
BASIC5000_0006	5	5	]@1(shu]un)→]@2(shuu]ni) | 平板→]@4(Nka]i) | 平板→]@6(Nsu]no) | ]@1(ju]gyo)→]@3(ugyo]og) | ]@4(ima]su)→]@2(ari]ma)	^-sh-u-]-u-n-i-#-y-o-[-N-k-a-i-_-f-u-[-r-a-N-s-u-n-o-#-j-u-]-gy-o-o-g-a-#-a-[-r-i-m-a-]-s-u-$	^-sh-u-[-u-]-n-i-#-y-o-[-N-k-a-]-i-_-f-u-[-r-a-N-s-u-]-n-o-#-j-u-[-gy-o-]-o-g-a-#-a-[-r-i-]-m-a-s-u-$
BASIC5000_0007	4	4	平板→]@5(asho]ga) | ]@1(na]ke)→]@3(ake]re) | ]@4(koe]wa)→]@3(oko]ew) | ]@4(ire]na)→]@2(hai]re)	^-ky-o-[-k-a-sh-o-g-a-#-n-a-]-k-e-r-e-b-a-#-k-o-[-k-o-e-]-w-a-#-h-a-[-i-r-e-]-n-a-i-$	^-ky-o-[-k-a-sh-o-]-g-a-#-n-a-[-k-e-]-r-e-b-a-#-k-o-[-k-o-]-e-w-a-#-h-a-[-i-]-r-e-n-a-i-$
BASIC5000_0008	4	5	]@3(ogo]ed)=同じ | 平板→]@3(aki]na) | ]@3(Nna]no)→]@7(oko]wa) | 平板→]@6(oya]o) | 平板→]@7(ite]it)	^-o-[-o-g-o-]-e-d-e-#-n-a-[-k-i-n-a-g-a-r-a-_-o-[-N-n-a-]-n-o-k-o-w-a-#-h-a-[-h-a-o-y-a-o-#-s-a-[-g-a-sh-i-t-e-i-t-a-$	^-o-[-o-g-o-]-e-d-e-#-n-a-[-k-i-]-n-a-g-a-r-a-_-o-[-N-n-a-n-o-k-o-]-w-a-#-h-a-[-h-a-o-y-a-]-o-#-s-a-[-g-a-sh-i-t-e-]-i-t-a-$
BASIC5000_0009	4	4	]@1(mu]za)→]@4(zai]no) | ]@3(ito]bi)→]@7(ito]wa) | ]@3(ochi]ro)→]@5(iro]N) | 平板→]@9(are]ta)	^-m-u-]-z-a-i-n-o-#-h-i-[-t-o-]-b-i-t-o-w-a-_-m-o-[-ch-i-]-r-o-N-#-h-o-[-o-m-e-N-s-a-r-e-t-a-$	^-m-u-[-z-a-i-]-n-o-#-h-i-[-t-o-b-i-t-o-]-w-a-_-m-o-[-ch-i-r-o-]-N-#-h-o-[-o-m-e-N-s-a-r-e-]-t-a-$
BASIC5000_0010	4	6	]@6(ishi]ke)→]@4(clki]shi) | ]@3(ona]et)→]@4(nae]te) | 平板→]@4(Nto]on) | 平板→]@2(kia]io) | ]@2(ire]te)=同じ | ]@9(ina]kya)=同じ	^-m-a-[-cl-k-i-sh-i-]-k-e-N-n-i-#-s-o-[-n-a-]-e-t-e-_-h-o-[-N-t-o-o-n-i-#-k-i-[-a-i-o-#-i-[-r-e-]-t-e-#-b-e-[-N-ky-o-o-sh-i-n-a-]-ky-a-$	^-m-a-[-cl-k-i-]-sh-i-k-e-N-n-i-#-s-o-[-n-a-e-]-t-e-_-h-o-[-N-t-o-]-o-n-i-#-k-i-[-a-]-i-o-#-i-[-r-e-]-t-e-#-b-e-[-N-ky-o-o-sh-i-n-a-]-ky-a-$
BASIC5000_0011	5	5	平板→]@3(iso]ga) | ]@1(shi]ba)→]@3(iba]shi) | 平板→]@3(iho]Nn) | ]@2(rai]Ng)→]@5(Nga]wa) | 平板→]@5(are]te)	^-k-i-[-s-o-g-a-w-a-w-a-_-sh-i-]-b-a-sh-i-b-a-#-n-i-[-h-o-N-n-o-#-r-a-[-i-]-N-g-a-w-a-t-o-#-y-o-[-b-a-r-e-t-e-i-r-u-$	^-k-i-[-s-o-]-g-a-w-a-w-a-_-sh-i-[-b-a-]-sh-i-b-a-#-n-i-[-h-o-]-N-n-o-#-r-a-[-i-N-g-a-]-w-a-t-o-#-y-o-[-b-a-r-e-]-t-e-i-r-u-$
BASIC5000_0012	4	5	]@8(aka]clt)=同じ | 平板→]@6(aku]wa) | ]@1(su]be)→]@3(ube]te) | ]@1(kyu]uj)→]@2(kyuu]jo) | 平板→]@3(are]ta)	^-o-[-b-o-r-e-k-a-k-a-]-cl-t-e-i-t-a-#-j-o-[-o-ky-a-k-u-w-a-_-s-u-]-b-e-t-e-#-ky-u-]-u-j-o-#-s-a-[-r-e-t-a-$	^-o-[-b-o-r-e-k-a-k-a-]-cl-t-e-i-t-a-#-j-o-[-o-ky-a-k-u-]-w-a-_-s-u-[-b-e-]-t-e-#-ky-u-[-u-]-j-o-#-s-a-[-r-e-]-t-a-$
BASIC5000_0013	6	6	]@4(ushi]Nb)→]@7(Nbu]ni) | ]@0(a]ru)→]@4(uno]de) | ]@1(sho]ot)→]@4(ote]Ny) | ]@0(o]fi)→]@2(ofi]su) | ]@2(iku]no)→]@4(uno]ni) | ]@1(be]Nr)→]@4(Nri]de)	^-ch-u-[-u-sh-i-]-N-b-u-n-i-#-a-]-r-u-n-o-d-e-_-sh-o-]-o-t-e-N-y-a-_-o-]-f-i-s-u-n-i-#-i-[-k-u-]-n-o-n-i-#-b-e-]-N-r-i-d-e-s-u-$	^-ch-u-[-u-sh-i-N-b-u-]-n-i-#-a-[-r-u-n-o-]-d-e-_-sh-o-[-o-t-e-]-N-y-a-_-o-[-f-i-]-s-u-n-i-#-i-[-k-u-n-o-]-n-i-#-b-e-[-N-r-i-]-d-e-s-u-$
BASIC5000_0014	3	4	]@13(uko]to)→]@10(oyu]uk) | ]@1(ka]re)→]@3(are]no) | ]@8(uni]wa)=同じ | ]@1(na]ik)→]@2(nai]ko)	^-z-a-[-N-k-o-k-u-t-o-y-u-u-k-o-]-t-o-w-a-_-k-a-]-r-e-n-o-#-s-e-[-e-sh-i-ts-u-n-i-]-w-a-#-n-a-]-i-k-o-t-o-d-a-$	^-z-a-[-N-k-o-k-u-t-o-y-u-]-u-k-o-t-o-w-a-_-k-a-[-r-e-]-n-o-#-s-e-[-e-sh-i-ts-u-n-i-]-w-a-#-n-a-[-i-]-k-o-t-o-d-a-$
BASIC5000_0015	5	6	平板→]@2(tee]eN) | 平板→]@5(ari]ni) | ]@3(uru]ri)→]@5(uri]to) | ]@3(aka]i)=同じ | 平板→]@2(hee]ga) | ]@1(ta]clt)→]@4(clte]ir)	^-t-e-[-e-e-N-n-o-#-m-a-[-w-a-r-i-n-i-_-g-u-[-r-u-]-r-i-t-o-#-t-a-[-k-a-]-i-#-h-e-[-e-g-a-#-t-a-]-cl-t-e-i-r-u-$	^-t-e-[-e-]-e-N-n-o-#-m-a-[-w-a-r-i-]-n-i-_-g-u-[-r-u-r-i-]-t-o-#-t-a-[-k-a-]-i-#-h-e-[-e-]-g-a-#-t-a-[-cl-t-e-]-i-r-u-$
BASIC5000_0016	3	4	]@4(clse]er)→]@7(eri]tsu) | ]@3(ibo]or)→]@6(ori]tsu) | ]@1(ho]bo)=同じ | ]@3(ito]shi)→]@7(ika]clt)	^-sh-u-[-cl-s-e-]-e-r-i-ts-u-t-o-#-sh-i-[-b-o-]-o-r-i-ts-u-w-a-_-h-o-]-b-o-#-h-i-[-t-o-]-sh-i-k-a-cl-t-a-$	^-sh-u-[-cl-s-e-e-r-i-]-ts-u-t-o-#-sh-i-[-b-o-o-r-i-]-ts-u-w-a-_-h-o-]-b-o-#-h-i-[-t-o-sh-i-k-a-]-cl-t-a-$
BASIC5000_0017	4	5	平板→]@5(tai]ni) | 平板=同じ | ]@1(su]icl)→]@5(clchi]ni) | ]@6(clte]wa)→]@3(awa]clt) | 平板→]@4(ena]i)	^-z-e-[-cl-t-a-i-n-i-#-s-o-[-n-o-#-s-u-]-i-cl-ch-i-n-i-#-s-a-[-w-a-cl-t-e-]-w-a-#-i-[-k-e-n-a-i-$	^-z-e-[-cl-t-a-i-]-n-i-#-s-o-[-n-o-#-s-u-[-i-cl-ch-i-]-n-i-#-s-a-[-w-a-]-cl-t-e-w-a-#-i-[-k-e-n-a-]-i-$
BASIC5000_0018	2	5	]@3(eya]o)=同じ | ]@1(de]ru)=同じ | ]@3(oki]ni)→]@5(ini]wa) | 平板→]@4(ari]o) | ]@7(asa]i)=同じ	^-h-e-[-y-a-]-o-#-d-e-]-r-u-#-t-o-[-k-i-]-n-i-w-a-_-a-[-k-a-r-i-o-#-k-e-[-sh-i-n-a-s-a-]-i-$	^-h-e-[-y-a-]-o-#-d-e-]-r-u-#-t-o-[-k-i-n-i-]-w-a-_-a-[-k-a-r-i-]-o-#-k-e-[-sh-i-n-a-s-a-]-i-$
BASIC5000_0019	4	5	]@8(upi]an)→]@4(eku]su) | 平板→]@3(aku]hi) | 平板→]@3(ote]mo) | ]@7(ashi]ku)→]@9(iku]te) | ]@3(ome]na)=同じ	^-sh-e-[-e-k-u-s-u-p-i-]-a-n-o-#-s-a-[-k-u-h-i-N-w-a-_-t-o-[-t-e-m-o-#-m-u-[-z-u-k-a-sh-i-]-k-u-t-e-#-y-o-[-m-e-]-n-a-i-$	^-sh-e-[-e-k-u-]-s-u-p-i-a-n-o-#-s-a-[-k-u-]-h-i-N-w-a-_-t-o-[-t-e-]-m-o-#-m-u-[-z-u-k-a-sh-i-k-u-]-t-e-#-y-o-[-m-e-]-n-a-i-$
BASIC5000_0020	5	5	平板→]@3(uka]shi) | 平板→]@3(uka]shi) | ]@3(ito]ri)→]@5(ori]no) | 平板→]@4(oji]Ng) | ]@1(su]Nd)→]@4(Nde]it)	^-m-u-[-k-a-sh-i-_-m-u-[-k-a-sh-i-_-h-i-[-t-o-]-r-i-n-o-#-r-o-[-o-j-i-N-g-a-#-s-u-]-N-d-e-i-t-a-$	^-m-u-[-k-a-]-sh-i-_-m-u-[-k-a-]-sh-i-_-h-i-[-t-o-r-i-]-n-o-#-r-o-[-o-j-i-]-N-g-a-#-s-u-[-N-d-e-]-i-t-a-$
BASIC5000_0021	4	5	]@6(oya]ra)=同じ | ]@1(ue]ya)→]@3(eya]ra) | ]@1(ka]re)→]@3(are]wa) | ]@3(ema]io)→]@4(mai]o) | 平板→]@4(Nji]ta)	^-h-i-[-r-o-o-y-a-]-r-a-_-u-[-e-]-y-a-r-a-d-e-_-k-a-]-r-e-w-a-#-m-e-[-m-a-]-i-o-#-k-a-[-N-j-i-t-a-$	^-h-i-[-r-o-o-y-a-]-r-a-_-u-[-e-y-a-]-r-a-d-e-_-k-a-[-r-e-]-w-a-#-m-e-[-m-a-i-]-o-#-k-a-[-N-j-i-]-t-a-$
BASIC5000_0022	4	4	]@1(mu]shi)→]@3(ushi]ro) | ]@8(oho]og)→]@4(Nge]no) | ]@7(asu]icl)→]@5(eya]su) | 平板→]@4(ita]zo)	^-m-u-]-sh-i-r-o-#-r-o-[-N-g-e-n-o-h-o-]-o-g-a-#-h-a-[-g-e-y-a-s-u-]-i-cl-t-e-#-k-i-[-i-t-a-z-o-?-$	^-m-u-[-sh-i-]-r-o-#-r-o-[-N-g-e-]-n-o-h-o-o-g-a-#-h-a-[-g-e-y-a-]-s-u-i-cl-t-e-#-k-i-[-i-t-a-]-z-o-?-$
BASIC5000_0023	3	4	]@3(uko]un)→]@4(kou]ni) | ]@1(ta]clt)→]@4(clte]ir) | ]@3(Nna]no)=同じ | ]@1(me]ar)→]@7(ide]su)	^-m-u-[-k-o-]-u-n-i-#-t-a-]-cl-t-e-i-r-u-#-o-[-N-n-a-]-n-o-k-o-w-a-_-m-e-]-a-r-i-i-d-e-s-u-$	^-m-u-[-k-o-u-]-n-i-#-t-a-[-cl-t-e-]-i-r-u-#-o-[-N-n-a-]-n-o-k-o-w-a-_-m-e-[-a-r-i-i-d-e-]-s-u-$
BASIC5000_0024	6	8	平板→]@5(uti]na) | ]@1(se]Ny)→]@7(Nhya]ku) | ]@3(ana]ju)=同じ | ]@1(sa]Nn)→]@4(Nne]Nn) | ]@11(ude]Nn)=同じ | 平板→]@7(usa]re) | 平板→]@4(oda]in) | 平板→]@5(hai]do)	^-sh-i-[-s-u-t-i-n-a-r-e-e-h-a-i-d-o-o-w-a-_-s-e-]-N-y-o-N-hy-a-k-u-#-n-a-[-n-a-]-j-u-u-#-s-a-]-N-n-e-N-n-i-_-b-a-[-ch-i-k-a-N-ky-u-u-d-e-]-N-n-a-i-n-i-#-k-o-[-N-ry-u-u-s-a-r-e-t-a-_-s-o-[-o-d-a-i-n-a-#-r-e-[-e-h-a-i-d-o-o-d-e-s-u-$	^-sh-i-[-s-u-t-i-]-n-a-r-e-e-h-a-i-d-o-o-w-a-_-s-e-[-N-y-o-N-hy-a-]-k-u-#-n-a-[-n-a-]-j-u-u-#-s-a-[-N-n-e-]-N-n-i-_-b-a-[-ch-i-k-a-N-ky-u-u-d-e-]-N-n-a-i-n-i-#-k-o-[-N-ry-u-u-s-a-]-r-e-t-a-_-s-o-[-o-d-a-]-i-n-a-#-r-e-[-e-h-a-i-]-d-o-o-d-e-s-u-$
BASIC5000_0025	4	4	]@1(te]ni)→]@5(isu]ni) | ]@0(a]ru)→]@2(aru]ke) | ]@7(ita]ik)→]@4(Nda]it) | ]@1(na]ni)→]@3(ani]?)	^-t-e-]-n-i-s-u-n-i-m-o-#-a-]-r-u-k-e-d-o-_-y-o-[-N-d-a-i-t-a-]-i-k-a-i-cl-t-e-#-n-a-]-n-i-?-$	^-t-e-[-n-i-s-u-]-n-i-m-o-#-a-[-r-u-]-k-e-d-o-_-y-o-[-N-d-a-]-i-t-a-i-k-a-i-cl-t-e-#-n-a-n-i-]-?-$
